mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
36.23178474108378,0.17761394119234333,4.675435860951741,0.20939597303454877,0.6,1.0,0.5,1000,7,0.05,0.0,0.6,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.9399146155510408,0.941384346522945,0.9379400289141473,0.9397463303293777,0.0014111628501443168,9
3.3640278975168862,0.05929998999547458,0.41072853406270343,0.007548146061654554,0.6,1.5,0.0,100,7,0.2,0.5,1.0,"{'subsample': 0.6, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9335541007349689,0.9352502046095125,0.930951281710242,0.9332518623515744,0.001767992374373767,17
6.083658933639526,0.24078321507319522,0.4237980842590332,0.011719745785673261,0.8,1.5,0.1,300,3,0.05,0.0,0.6,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.8915208878040688,0.8929317221755744,0.8912566842315607,0.8919030980704012,0.0007353010921787375,45
13.66373896598816,0.0027872973784495154,1.3342398802439372,0.03415461531966975,0.6,1.0,0.1,500,5,0.1,0.2,0.8,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.9319824425913046,0.933801633523393,0.9300543250750085,0.9319461337299021,0.0015300476903015415,22
3.1582136948903403,0.08662459984402616,0.3018190860748291,0.03230047105990235,0.8,1.0,1.0,100,5,0.1,0.2,1.0,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.9054958910123247,0.907438460376592,0.9046274365742514,0.9058539293210561,0.0011751899923617508,38
18.240583260854084,0.08167302577239177,2.5748143990834556,0.06568371282851321,0.6,1.5,0.1,500,7,0.05,0.2,0.6,"{'subsample': 0.6, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.6}",0.9326565529951647,0.93410433000033,0.9304190128998026,0.9323932986317658,0.0015159964111097438,20
72.05985339482625,0.9656489794901852,43.09205929438273,0.9755724664475015,0.8,1.0,0.0,1000,15,0.1,0.0,0.6,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 1000, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",0.933028516180978,0.9334969568366737,0.9300523755200687,0.9321926161792401,0.0015254139812643376,21
7.85778005917867,0.1083214562124534,0.7993901570638021,0.03870115775584665,1.0,0.5,0.0,300,5,0.2,0.0,0.6,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.6}",0.9305701777488392,0.9328507037222973,0.9287117991168489,0.9307108935293286,0.0016926278447844626,23
13.067923307418823,0.7592881774931544,3.0833993752797446,0.5731837815092592,1.0,0.5,1.0,300,10,0.1,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.9484300311117785,0.950234005049227,0.9468206009555356,0.9484948790388469,0.0013942706138434554,1
5.638180494308472,0.15202118198524725,0.9198064804077148,0.062333829259225974,1.0,1.5,0.1,100,10,0.05,0.2,0.8,"{'subsample': 1.0, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.9265800795847063,0.9273253739918624,0.9245719467255807,0.9261591334340499,0.0011628233382562935,29
8.692245244979858,0.6763401297576944,0.544516404469808,0.024762828551245973,0.6,1.5,0.0,500,3,0.01,0.5,0.6,"{'subsample': 0.6, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.8749778743696393,0.8767908815039198,0.8752195916360285,0.8756627825031958,0.0008037670996806159,49
